date,odometer,source,details
"January 4, 2014",NR,,Vehicle serviced
"September 24, 2014",5220,,Vehicle serviced
"June 8, 2018",46236,,
"November 22, 2018",52080,,
"January 8, 2019",54927,,
"January 18, 2019",55444,,
"August 12, 2019",63473,,
"December 10, 2019",NR,,
"October 2, 2020",75823,,
"October 14, 2020",75913,,
"August 16, 2022",90109,,
"March 3, 2023",93512,,
"March 27, 2023",95332,,
"April 15, 2023",NR,,
"June 16, 2023",102645,,
"September 21, 2023",110645,,
"September 29, 2023",111148,,
